,PLAYER,MATCHES,RUNS,HIGH SCORE,AVERAGE,STRIKE RATE
1,Faf du Plesis,13,449,87,40.8,140.7
2,Ambati Rayudu,12,359,71,39.8,127.3
3,Shane Watson,11,299,83,29.9,121.0
4,Ravindra Jadeja,14,232,50,46.4,171.8
5,Ruturaj Gaikwad,6,204,72,51.0,120.7
6,MS Dhoni,14,200,47,25.0,116.2
7,Sam Curran,14,186,52,23.2,131.9
8,Kedar Jadhav,8,62,26,20.6,93.9
9,Narayan Jagadheesan,5,33,33,16.5,113.7
10,Murali Vijay,3,32,21,10.6,74.4
