,PLAYER,MATCHES,WICKETS,OVERS,AVERAGE,ECONOMY
1,Yuzvendra Chahal,15,21,57.1,19.2,7.08
2,Chris Morris,9,11,31.4,19.09,6.63
3,Mohammed Siraj,9,11,27.1,21.45,8.68
4,Washington Sundar,15,8,50.0,37.25,5.96
5,Isuru Udana,10,8,29.0,35.25,9.72
6,Navdeep Saini,13,6,45.4,63.16,8.29
7,Shivam Dube,11,4,9.0,18.25,8.11
8,Shahbaz Ahmed,2,2,6.0,22.0,7.33
9,Adam Zampa,3,2,11.0,46.0,8.36
10,Moeen Ali,3,1,5.0,42.0,8.4
