,PLAYER,MATCHES,WICKETS,OVERS,AVERAGE,ECONOMY
1,Jofra Archer,14,20,55.4,18.2,6.55
2,Rahul Tewatia,14,10,46.0,32.6,7.08
3,Shreyas Gopal,14,10,50.0,42.7,8.54
4,Kartik Tyagi,10,9,38.1,40.7,9.61
5,Jaydev Unadkat,7,4,23.0,57.0,9.91
6,Tom Curran,5,3,18.1,69.3,11.44
7,Ben Stokes,8,2,15.0,77.0,10.26
8,Ankit Rajpoot,6,2,17.0,99.5,11.7
9,Andrew Tye,1,1,4.0,50.0,12.5
10,Varun Aaron,3,0,8.0,0.0,11.75
