,PLAYER,MATCHES,WICKETS,OVERS,AVERAGE,ECONOMY
1,Varun Chakravarthy,13,17,52.0,20.9,6.84
2,Pat Cummins,14,12,52.0,34.0,7.86
3,Shivam Mavi,8,9,26.0,23.5,8.15
4,Lockie Ferguson,5,6,19.5,24.6,7.46
5,Andre Russell,10,6,18.0,29.1,9.72
6,Sunil Narine,10,5,38.0,60.4,7.94
7,Kamlesh Nagarkoti,10,5,26.0,46.2,8.88
8,Prasidh Krishna,6,4,17.3,41.0,9.37
9,Kuldeep Yadav,5,1,12.0,92.0,7.66
10,Chris Green,1,0,2.5,0.0,8.47
