,PLAYER,MATCHES,RUNS,HIGH SCORE,AVERAGE,STRIKE RATE
1,Ishan Kishan,14,516,99,57.3,145.7
2,Quinton de Kock,16,503,78,35.9,140.5
3,Suryakumar Yadav,16,480,79,40.0,145.0
4,Rohit Sharma,12,332,80,27.6,127.6
5,Hardik Pandya,14,281,60,35.1,178.9
6,Kieron Pollard,16,268,60,53.6,191.4
7,Krunal Pandya,16,109,34,18.1,118.4
8,Saurabh Tiwary,7,103,42,20.6,128.7
9,Nathan Coulter-Nile,7,25,24,25.0,166.6
10,James Pattinson,10,15,11,15.0,115.3
