,PLAYER,MATCHES,WICKETS,OVERS,AVERAGE,ECONOMY
1,Mohammad Shami,14,20,53.4,23.0,8.57
2,Ravi Bishnoi,14,12,51.0,31.3,7.37
3,Murugan Ashwin,9,10,31.3,23.5,7.46
4,Arshdeep Singh,8,9,24.5,24.2,8.77
5,Chris Jordan,9,9,31.3,33.7,9.65
6,Sheldon Cottrell,6,6,20.0,29.3,8.8
7,Glenn Maxwell,13,3,21.0,56.3,8.04
8,Jimmy Neesham,5,2,15.0,74.0,9.86
9,Krishnappa Gowtham,2,1,8.0,84.0,10.5
10,Chris Gayle,7,0,0.5,0.0,6.0
