,PLAYER,MATCHES,WICKETS,OVERS,AVERAGE,ECONOMY
1,Kagiso Rabada,17,30,65.4,18.2,8.34
2,Anrich Nortje,16,22,61.0,23.2,8.39
3,Ravichandran Ashwin,15,13,51.0,30.0,7.66
4,Marcus Stoinis,17,13,29.4,21.7,9.53
5,Axar Patel,15,9,51.0,36.3,6.41
6,Amit Mishra,3,3,10.0,24.0,7.2
7,Harshal Patel,5,3,15.0,44.6,8.93
8,Tushar Deshpande,5,3,17.0,64.0,11.29
9,Mohit Sharma,1,1,4.0,45.0,11.25
10,Ishant Sharma,1,0,3.0,0.0,8.66
