,PLAYER,MATCHES,WICKETS,OVERS,AVERAGE,ECONOMY
1,Sam Curran,14,13,42.0,26.4,8.19
2,Deepak Chahar,14,12,52.0,33.0,7.61
3,Shardul Thakur,9,10,32.2,27.5,8.5
4,Lungi Ngidi,4,9,16.0,18.5,10.43
5,Dwayne Bravo,6,6,21.0,30.0,8.57
6,Ravindra Jadeja,14,6,36.2,53.0,8.75
7,Piyush Chawla,7,6,21.0,31.8,9.09
8,Karn Sharma,5,5,19.0,33.0,8.68
9,Mitchell Santner,2,2,7.0,26.5,7.57
10,Josh Hazlewood,3,1,10.0,64.0,6.4
