,PLAYER,MATCHES,WICKETS,OVERS,AVERAGE,ECONOMY
1,Rashid Khan,16,20,64.0,17.2,5.37
2,T Natarajan,16,16,62.5,31.5,8.02
3,Sandeep Sharma,13,14,52.0,26.7,7.19
4,Jason Holder,7,14,28.0,16.6,8.32
5,Khaleel Ahmed,7,8,25.4,30.2,9.42
6,Shahbaz Nadeem,7,5,22.0,35.6,8.09
7,Vijay Shankar,7,4,13.1,20.5,6.22
8,Bhuvneshwar Kumar,4,3,14.1,33.0,6.98
9,Abhishek Sharma,8,2,10.0,45.5,9.1
10,Siddarth Kaul,1,2,4.0,32.0,16.0
